Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
LFQ intensity WT#2	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.9378125	7.18345324477356E-05	0.000962582734799657	35.6951999664307	36.1443004608154
LFQ intensity WT#1	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.935423197492163	7.49546462685391E-05	0.00100439225999842	35.7612495422363	36.2740001678467
LFQ intensity WT#3	Keywords	Transcription regulation	67	-0.284671317966381	7.86058110181453E-05	0.001705141439009	28.7045359255663	28.6119003295898
LFQ intensity WT#3	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.931310577328276	8.06354879420456E-05	0.00108051553842341	35.7493502298991	36.2225513458252
LFQ intensity WT#3	Keywords	Oxidoreductase	123	0.212558617053747	8.83412463824209E-05	0.00177944510570305	31.0881942500913	31.1646003723145
LFQ intensity WT#4	Keywords	Transmembrane helix	144	-0.19405574516496	0.000119348132319583	0.00280468110951019	29.3174555036757	29.09255027771
LFQ intensity WT#2	Keywords	tRNA-binding	19	0.51096076675621	0.000126287252842375	0.00323754593650452	32.8628682588276	34.065601348877
LFQ intensity 401#4	Keywords	Transmembrane	158	-0.185309447680785	0.000128512469155817	0.00278773202322619	29.3114809325979	29.0445499420166
LFQ intensity WT#4	Keywords	Nucleotide-binding	260	0.149478245994184	0.00013271593411512	0.00287891487849723	30.7183053090022	30.512749671936
LFQ intensity 401#2	Keywords	Transcription regulation	66	-0.276051278998234	0.000143605738180583	0.00311513985899419	28.5360682227395	28.7500495910645
LFQ intensity 401#2	Keywords	Transmembrane	158	-0.18340757729458	0.000151448159786052	0.00305059864711904	29.2796076158934	29.0411500930786
LFQ intensity WT#3	Keywords	GTP-binding	24	0.444799658994032	0.000180795037735346	0.0033989467094245	32.2928253014882	31.85325050354
LFQ intensity WT#2	Keywords	Transmembrane helix	143	-0.188046403357408	0.000202181092559967	0.00475125567515921	29.3087895400041	29.0979995727539
LFQ intensity WT#2	Keywords	GTP-binding	25	0.432460468058191	0.000203367158650795	0.0044115029799634	32.1965682983398	31.3939990997314
LFQ intensity WT#2	Keywords	Fatty acid biosynthesis	11	0.646280991735537	0.000216694522637493	0.00436484681312664	33.0345909812234	33.3111000061035
LFQ intensity WT#3	Keywords	tRNA-binding	19	0.490188185569085	0.000235553639880573	0.00415163290289509	32.8263948340165	33.8821983337402
LFQ intensity 401#1	Keywords	Transmembrane	159	-0.177433520909191	0.000238399285232056	0.00517143064887999	29.3035591773267	28.9232006072998
LFQ intensity 401#2	Keywords	DNA-binding	119	-0.201270196002417	0.000255241322527765	0.00479853686352199	28.9565974483971	29.1555004119873
LFQ intensity WT#3	Keywords	Fatty acid biosynthesis	11	0.635787167809996	0.000274228388896062	0.00454896503933468	33.031154459173	33.0941009521484
LFQ intensity 401#2	Keywords	Hydrolase	196	-0.16025594203322	0.000274815612790526	0.00484362517543303	29.2415795326233	29.4190502166748
LFQ intensity WT#4	Keywords	Oxidoreductase	124	0.196024763766699	0.000282266150588169	0.00568564674756169	30.9604290685346	31.0260992050171
LFQ intensity WT#2	Keywords	Oxidoreductase	125	0.193561107359892	0.000320243240448837	0.00602057292043814	30.9636871795654	31.0263004302979
LFQ intensity 401#3	Keywords	Transcription regulation	67	-0.258179879821671	0.00034084259858636	0.00739366252318105	28.7250956634977	28.6970996856689
LFQ intensity WT#4	Keywords	Fatty acid biosynthesis	11	0.625099556263511	0.000346874654497806	0.00652124350455876	32.9425274242054	32.902400970459
LFQ intensity WT#1	Keywords	Transcription regulation	65	-0.260817307692308	0.000362054665535442	0.0092817650619086	28.6867199824407	28.7294998168945
LFQ intensity 401#1	Keywords	Fatty acid biosynthesis	11	0.621395133791828	0.000376394013785922	0.00758165084911644	32.9662546678023	33.201000213623
LFQ intensity 401#4	Keywords	Fatty acid biosynthesis	11	0.619460941068981	0.000392321196371034	0.00790246981261654	32.798881704157	32.9132995605469
LFQ intensity 401#4	Keywords	Oxidoreductase	124	0.190473074658117	0.000419247035235759	0.00788184426243227	30.8956055794993	30.9280500411987
LFQ intensity 401#3	Keywords	Transmembrane	158	-0.17062400083864	0.00042139365953445	0.0084880722849082	29.3739417474481	29.0436000823975
LFQ intensity WT#1	Gene Ontology (cellular component)	cytosol [GO:0005829]	15	0.527322404371585	0.000432072496453194	0.00482480954372733	32.6521603902181	32.9793014526367
LFQ intensity WT#4	Keywords	GTP-binding	25	0.409646464646465	0.000433372120908221	0.00763818363100739	32.0740720367432	31.2875995635986
LFQ intensity WT#3	Keywords	Nucleotide-binding	261	0.13754702653697	0.000436011402067684	0.00683084529906039	30.7120445222233	30.5981006622314
LFQ intensity 401#2	Keywords	Oxidoreductase	122	0.191176962253848	0.000442266977771577	0.00733642869009321	30.8993828101236	31.0873003005981
LFQ intensity WT#4	Gene Ontology (cellular component)	cytosol [GO:0005829]	15	0.52538686741949	0.000453451471561882	0.00506354143244102	32.5239264170329	32.896598815918
LFQ intensity WT#1	Keywords	Fatty acid biosynthesis	11	0.611435105774728	0.000466573418080423	0.01096447532489	32.9616907293146	33.0262985229492
LFQ intensity WT#4	Keywords	Fatty acid metabolism	12	0.584950949697349	0.000473161318887672	0.00784891128978374	32.7284668286641	32.7950000762939
LFQ intensity WT#2	Gene Ontology (cellular component)	cytosol [GO:0005829]	15	0.523570081709617	0.000474618701534747	0.00529990883380467	32.5742998758952	33.0045013427734
LFQ intensity WT#2	Keywords	Transcription regulation	65	-0.255109070034443	0.000485769996103067	0.00856169618131656	28.7630028357873	28.9041004180908
LFQ intensity 401#3	Keywords	Nucleotide-binding	262	0.135889213655325	0.000493443175662108	0.00927673170244762	30.596298123134	30.4505004882813
LFQ intensity WT#4	Keywords	Transmembrane	162	-0.165860400829302	0.000527423053367657	0.00826296116942663	29.4782950201152	29.2290992736816
LFQ intensity WT#4	Keywords	Transcription regulation	66	-0.250878846795892	0.000548369648664535	0.00813896004859994	28.8272649880612	29.0689496994019
LFQ intensity 401#3	Keywords	Oxidoreductase	124	0.185831901333391	0.000577287570735133	0.0101746934342067	30.8709347324987	30.9342498779297
LFQ intensity WT#2	Keywords	Fatty acid metabolism	12	0.575595984943538	0.000582620688734642	0.00966464907195112	32.7159001032511	33.0049991607666
LFQ intensity WT#3	Keywords	Fatty acid metabolism	12	0.575507614213198	0.000584101055755977	0.00866928935385186	32.7512749036153	33.0208511352539
LFQ intensity 401#3	Keywords	Fatty acid biosynthesis	11	0.5995670995671	0.000600529663908809	0.00996172736601671	32.7547815496271	32.9043998718262
LFQ intensity WT#3	Keywords	DNA-binding	117	-0.189411238357533	0.00063942401537425	0.00901587861677692	29.1958496061146	29.2091999053955
LFQ intensity WT#3	Gene Ontology (cellular component)	cytosol [GO:0005829]	15	0.50955710955711	0.000671496218895994	0.0074983744443386	32.4714068094889	32.9137992858887
LFQ intensity 401#2	Keywords	Fatty acid biosynthesis	11	0.593724859211585	0.000679233055206518	0.0106413178649021	32.7393450303511	33.1590995788574
LFQ intensity WT#2	Keywords	Transmembrane	161	-0.162818887145651	0.000690912703735264	0.0108242990251858	29.4644733097242	29.1742000579834
LFQ intensity WT#3	Keywords	Peroxidase	7	0.7357910906298	0.000770110950425283	0.0103414899057109	33.5977153778076	33.5749015808105
LFQ intensity 401#1	Gene Ontology (cellular component)	cytosol [GO:0005829]	15	0.498449118334396	0.00087856072718802	0.00981059478693288	32.4842936197917	32.7748985290527
LFQ intensity WT#3	Gene Ontology (cellular component)	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	5	0.85142135186355	0.000997222498942561	0.00954484391845023	34.5897201538086	33.7626991271973
